ObjectId,PIN,Status,Center_Longitude,Center_Latitude,relative_time_ms,matched_file,vehicle_x,vehicle_y,objectid,Vision Model Output,Pred LLM,Pred_wo_LLM,label
443,969920000000000.0,existing,-82.39092863,35.601153492810404,479528,GS010331,-82.3909708,35.6013601,443.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": false,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": true
}
```",Occupied,Occupied,Occupied
443,969920000000000.0,existing,-82.39092863,35.601153492810404,85242,GS020331,-82.390969,35.601347,443.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": false,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": true
}
```",Occupied,Occupied,Occupied
527,969962000000000.0,new,-82.37780447,35.60513753556246,110763,GS010342,-82.3779426,35.6051247,527.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": false,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": false
}
```",Occupied,Occupied,Occupied
575,6.19463E+13,existing,-82.31743094,35.61865737773906,29160,GS010346,-82.3173539,35.6185026,575.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": false,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": false
}
```",Occupied,Occupied,
857,6.19487E+13,existing,-82.3158729,35.623341578758506,10949,GS010347,-82.3158801,35.6231746,857.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": true,
  ""debris outside house"": true,
  ""doors or windows open"": true,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": true,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": true,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": true
}
```",Not Occupied,Not Occupied,Not Occupied
1069,968971000000000.0,existing,-82.40697509,35.60309011,204562,GS010334,-82.4071954,35.6032223,1069.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": true,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": true,
  ""is there a red cross or zero written on the building"": true,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": false
}
```",Not Occupied,Not Occupied,Not Occupied
1146,968971000000000.0,existing,-82.40672041,35.59971570492749,310893,GS020331,-82.4066876,35.5995488,1146.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": true,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": false
}
```",Occupied,Occupied,Occupied
1403,968917000000000.0,existing,-82.42896475,35.61725129,321593,GS010337,-82.4287472,35.617196,1403.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": false,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": true
}
```",Occupied,Occupied,Occupied
1442,968992000000000.0,existing,-82.39877446,35.60182952034632,243045,GS020331,-82.3986682,35.6016607,1442.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": true,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": false
}
```",Occupied,Occupied,
2174,969962000000000.0,changed,-82.37694034,35.60564847100357,223403,GS010342,-82.3770977,35.6055515,2174.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": true,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": false
}
```",Occupied,Occupied,
2441,6.19495E+13,existing,-82.31682943,35.626407819926435,202355,GS010349,-82.3168268,35.6266011,2441.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": false,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": false
}
```",Occupied,Occupied,Occupied
2519,6.19466E+13,existing,-82.31663727,35.61912914447803,48263,GS010346,-82.3168275,35.6190616,2519.jpg,"```json
{
  ""house destroyed"": false,
  ""house damaged"": false,
  ""debris outside house"": false,
  ""doors or windows open"": false,
  ""building inaccessible"": false,
  ""is there large area of mud outside,"": false,
  ""is there a red cross or zero written on the building"": false,
  ""major repair work going on around the house (Wall pannels or Roof)"": false,
  ""are there any cars parked right outside the concerned house (not the black car rooftop partially visible)"": true
}
```",Occupied,Occupied,Occupied
