visit1_objectid,june25_objectid,visit1_lon,visit1_lat,june25_lon,june25_lat,Visit1_Ground_Truth,June25_Ground_Truth,Visit1_Pred_LLM,June25_Pred_LLM,Visit1_Pred_wo_LLM,June25_Pred_wo_LLM,Ground_Truth_Changed,LLM_Pred_Changed,wo_LLM_Pred_Changed
443.jpg,443.jpg,-82.39092863,35.601153492810404,-82.39092863,35.601153492810404,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
443.jpg,443.jpg,-82.39092863,35.601153492810404,-82.39092863,35.601153492810404,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
527.jpg,527.jpg,-82.37780447,35.60513753556246,-82.37780447,35.60513753556246,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
575.jpg,575.jpg,-82.31743094,35.61865737773906,-82.31743094,35.61865737773906,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,True,True,True
1069.jpg,1069.jpg,-82.40697509,35.60309011,-82.40697509,35.60309011,Not Occupied,Not Occupied,Not Occupied,Occupied,Not Occupied,Occupied,False,True,True
1403.jpg,1403.jpg,-82.42896475,35.61725129,-82.42896475,35.61725129,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
2441.jpg,2441.jpg,-82.31682943,35.626407819926435,-82.31682943,35.626407819926435,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
2519.jpg,2519.jpg,-82.31663727,35.61912914447803,-82.31663727,35.61912914447803,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
2798.jpg,2798.jpg,-82.37828382,35.60555479568976,-82.37828382,35.60555479568976,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
3316.jpg,3316.jpg,-82.37858327,35.60637237676888,-82.37858327,35.60637237676888,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
3374.jpg,3374.jpg,-82.39458699,35.60121172837775,-82.39458699,35.60121172837775,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
3374.jpg,3374.jpg,-82.39458699,35.60121172837775,-82.39458699,35.60121172837775,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
3431.jpg,3431.jpg,-82.31706373,35.61906461063195,-82.31706373,35.61906461063195,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
3700.jpg,3700.jpg,-82.31792967,35.61795518982011,-82.31792967,35.61795518982011,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
