sample_id,visit,image_path,label_A,label_B,label_C
1,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/101273.jpg,,,
2,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/125571.jpg,,,
3,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/160713.jpg,,,
4,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/408.jpg,,,
5,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/5069.jpg,,,
6,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/89134.jpg,,,
7,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/181478.jpg,,,
8,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/90719.jpg,,,
9,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/18610.jpg,,,
10,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/6225.jpg,,,
11,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/72854.jpg,,,
12,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/93297.jpg,,,
13,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/19376.jpg,,,
14,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/151448.jpg,,,
15,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/25643.jpg,,,
16,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/18111.jpg,,,
17,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/69070.jpg,,,
18,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/16509.jpg,,,
19,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/10643.jpg,,,
20,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/120853.jpg,,,
21,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/6225.jpg,,,
22,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/42639.jpg,,,
23,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/150044.jpg,,,
24,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/171693.jpg,,,
25,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/55719.jpg,,,
26,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/32932.jpg,,,
27,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/86538.jpg,,,
28,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/180445.jpg,,,
29,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/152820.jpg,,,
30,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/84037.jpg,,,
31,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/78944.jpg,,,
32,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/102102.jpg,,,
33,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/173772.jpg,,,
34,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/115074.jpg,,,
35,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/182113.jpg,,,
36,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/179524.jpg,,,
37,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/59535.jpg,,,
38,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/124769.jpg,,,
39,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/58037.jpg,,,
40,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/70932.jpg,,,
41,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/41410.jpg,,,
42,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/129169.jpg,,,
43,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/33126.jpg,,,
44,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/69766.jpg,,,
45,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/79279.jpg,,,
46,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/96869.jpg,,,
47,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/14859.jpg,,,
48,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/2798.jpg,,,
49,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/166116.jpg,,,
50,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/96035.jpg,,,
51,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/28406.jpg,,,
52,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/13311.jpg,,,
53,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/164446.jpg,,,
54,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/34926.jpg,,,
55,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/857.jpg,,,
56,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/62597.jpg,,,
57,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/5069.jpg,,,
58,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/157655.jpg,,,
59,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/66673.jpg,,,
60,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/122593.jpg,,,
61,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/157084.jpg,,,
62,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/19482.jpg,,,
63,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/17765.jpg,,,
64,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/32932.jpg,,,
65,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/129924.jpg,,,
66,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/67545.jpg,,,
67,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/120865.jpg,,,
68,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/130661.jpg,,,
69,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/178228.jpg,,,
70,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/225.jpg,,,
71,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/26421.jpg,,,
72,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/72844.jpg,,,
73,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/153540.jpg,,,
74,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/47001.jpg,,,
75,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/23149.jpg,,,
76,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/59495.jpg,,,
77,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/164446.jpg,,,
78,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/83270.jpg,,,
79,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/14986.jpg,,,
80,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/104338.jpg,,,
81,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/101457.jpg,,,
82,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/61514.jpg,,,
83,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/123663.jpg,,,
84,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/112266.jpg,,,
