sample_id,visit,image,label_A,label_B,label_C
1,1,facades/001.jpg,o,,
2,1,facades/002.jpg,,,o
3,2,facades/003.jpg,o,,
4,2,facades/004.jpg,o,,
5,1,facades/005.jpg,o,,
6,1,facades/006.jpg,,o,
7,2,facades/007.jpg,o,,
8,2,facades/008.jpg,o,,
9,2,facades/009.jpg,,,o
10,1,facades/010.jpg,,o,
11,1,facades/011.jpg,,o,
12,1,facades/012.jpg,o,,
13,2,facades/013.jpg,,o,
14,1,facades/014.jpg,,o,
15,2,facades/015.jpg,o,,
16,1,facades/016.jpg,o,,
17,1,facades/017.jpg,o,,
18,2,facades/018.jpg,,,o
19,1,facades/019.jpg,o,,
20,1,facades/020.jpg,,o,
21,2,facades/021.jpg,,o,
22,1,facades/022.jpg,,o,
23,1,facades/023.jpg,,o,
24,2,facades/024.jpg,o,,
25,1,facades/025.jpg,,o,
26,2,facades/026.jpg,o,,
27,2,facades/027.jpg,,o,
28,1,facades/028.jpg,,,o
29,2,facades/029.jpg,,,o
30,2,facades/030.jpg,,o,
31,2,facades/031.jpg,,,o
32,2,facades/032.jpg,,,o
33,1,facades/033.jpg,o,,
34,2,facades/034.jpg,,,o
35,1,facades/035.jpg,o,,
36,1,facades/036.jpg,o,,
37,1,facades/037.jpg,o,,
38,1,facades/038.jpg,o,,
39,1,facades/039.jpg,o,,
40,2,facades/040.jpg,,o,
41,2,facades/041.jpg,,o,
42,2,facades/042.jpg,o,,
43,2,facades/043.jpg,,,o
44,2,facades/044.jpg,,o,
45,1,facades/045.jpg,o,,
46,1,facades/046.jpg,o,,
47,2,facades/047.jpg,o,,
48,2,facades/048.jpg,,,o
49,1,facades/049.jpg,o,,
50,2,facades/050.jpg,,,o
51,1,facades/051.jpg,,,o
52,1,facades/052.jpg,o,,
53,1,facades/053.jpg,o,,
54,2,facades/054.jpg,,,o
55,1,facades/055.jpg,,o,
56,2,facades/056.jpg,o,,
57,2,facades/057.jpg,o,,
58,2,facades/058.jpg,,,o
59,1,facades/059.jpg,,o,
60,1,facades/060.jpg,o,,
61,2,facades/061.jpg,,,o
62,1,facades/062.jpg,,o,
63,1,facades/063.jpg,o,,
64,1,facades/064.jpg,,o,
65,1,facades/065.jpg,o,,
66,2,facades/066.jpg,o,,
67,1,facades/067.jpg,o,,
68,2,facades/068.jpg,,o,
69,2,facades/069.jpg,o,,
70,2,facades/070.jpg,,,o
71,2,facades/071.jpg,o,,
72,1,facades/072.jpg,,o,
73,2,facades/073.jpg,,o,
74,2,facades/074.jpg,,o,
75,2,facades/075.jpg,,o,
76,2,facades/076.jpg,,,o
77,2,facades/077.jpg,,,o
78,1,facades/078.jpg,,,o
79,1,facades/079.jpg,,o,
80,2,facades/080.jpg,,o,
81,2,facades/081.jpg,o,,
82,1,facades/082.jpg,,,o
83,1,facades/083.jpg,,o,
84,1,facades/084.jpg,,,o
85,1,facades/085.jpg,,o,
86,2,facades/086.jpg,o,,
87,1,facades/087.jpg,o,,
88,1,facades/088.jpg,,,o
89,1,facades/089.jpg,o,,
90,2,facades/090.jpg,,o,
91,2,facades/091.jpg,,,o
92,1,facades/092.jpg,,o,
93,2,facades/093.jpg,,o,
94,2,facades/094.jpg,,,o
95,1,facades/095.jpg,,o,
96,2,facades/096.jpg,,o,
97,2,facades/097.jpg,,,o
98,1,facades/098.jpg,,,o
99,2,facades/099.jpg,,o,
100,1,facades/100.jpg,o,,
