objectid,ground_truth,gpt4o_two_stage,gpt4o_one_stage,attributes,provider,qwen35-think-s3_one_stage,qwen35-think-s3_two_stage,error
443.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
443.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
527.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
857.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Morph,Not Occupied,Not Occupied,
1069.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": true, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Not Occupied,Not Occupied,
1146.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
1403.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,,empty decision (finish=length)
2441.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
2519.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
2798.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
3316.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
3374.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
3374.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
3431.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
3700.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
4079.jpg,Not Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,,empty decision (finish=length)
4311.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": false}",Morph,Occupied,Not Occupied,
4560.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,,empty decision (finish=length)
5069.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
5069.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
5072.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
5173.jpg,Not Occupied,Not Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
5286.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
5310.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
5518.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
5530.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
6173.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
6225.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Morph,Not Occupied,Not Occupied,
6671.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Morph,Occupied,Occupied,
